time,helicopter,atc,airplane
20:45:19.0,INT-2 oh-kay.,,
20:45:20.0,,AAL3130 Washington Tower American thirty one thirty with you runway AAL3130 Washington Tower American thirty one thirty with you runway one. one.,
20:45:20.0,INT-1 there we go now we can make the turn.,,
20:45:21.3,INT-2 okay.,,
20:45:22.7,INT-2 * * *.,,
20:45:22.8,,TWR-A American thirty one (thirty/thirty one) Washington Tower winds DCA-LC American thirty one thirty Washington Tower winds are three one TWR-A American thirty one thirty Washington Tower winds are three one are three one direct one four * runway one clear to land * *. zero at one four gusts two five runway one cleared to land traffic zero at one four gust two five runway one cleared to land traffic will depart— may depart prior to your arrival. will depart— may depart prior to your arrival.,
20:45:24.1,,,HOT-1 * * visual three three * *.
20:45:27.5,INT-3 clear left. CAM [sound of cavalry charge consistent with autopilot disconnect],,
20:45:28.8,INT-2 clear left. crane. no factor.,,
20:45:30.6,,,HOT-1 that's me I got ten plus.
20:45:32.4,INT-1 you're at three hundred feet. come down for me.,,
20:45:32.6,,AAL3130 okay cleared to land runway one American thirty one thirty. AAL3130 okay clear to land runway one American thirty one thirty.,
20:45:33.9,INT-2 yeah.,,
20:45:35.1,INT-2 go down two hundred. HOT-2 all checks.,,
20:45:39.4,,,HOT-1 we're configured.
20:45:39.9,,,HOT-2 yep.
20:45:40.5,,,CAM [sound of switch]
20:45:41.3,,,HOT-1 what'd ya say?
20:45:42.0,,,HOT-2 yeah we are configured. you want me to uh clear the flight director and everything?
20:45:44.8,,,HOT-1 uhhh sure why not.
20:45:46.4,,,HOT-2 all right.
20:45:50.6,INT-1 crane out the right. no factor.,,
20:45:52.2,INT-2 okay.,,
20:45:55.0,,TWR-A * * contact * good day. DCA-LC Jazz seven eight nine contact Potomac Departure good day. TWR-A Jazz seven eight nine contact Potomac Departure good day.,
20:45:57.2,,JZA789 have a good day. JZA789 have a good day.,
20:45:58.0,,TWR-A American seventy one thirty * final. DCA-LC American thirty one thirty slow to final. TWR-A American thirty one thirty slow to final.,
20:46:00.2,,AAL3130 slowin' American thirty one thirty. AAL3130 slowin' American thirty one thirty.,
20:46:01.7,,,CAM [sound of tone consistent with altitude alert]
20:46:01.7,,TWR-A PAT two five traffic just south of Wilson Bridge is a C-R-J at one DCA-LC PAT two five traffic just south of the Wilson Bridge is a C-R-J at TWR-A PAT two five traffic just south of Wilson Bridge is a C-R-J at one thousand two hundred feet for runway three three. one thousand two hundred feet circling runway three three. thousand two hundred feet circling to runway three three.,
20:46:08.0,RDO-1 PAT two five has the traffic in sight request visual separation. PAT25 PAT two five has the traffic in sight request visual separation. [loud static during transmission],,
20:46:09.8,,,HOT-1 uhhh I gotta level off.
20:46:10.5,,TWR-A separation approved. DCA-LC vis separation approved. TWR-A vis separation approved.,
20:46:11.7,,TWR-A American sixteen thirty tower runway one line up and wait traffic DCA-LC American sixteen thirty tower runway one line up and wait traffic TWR-A American sixteen thirty tower runway one lineup and wait traffic * runway three three this traffic on a six mile final. three out circling runway three three additional traffic on six mile is * * circling runway three three additional traffic on a six mile final. final.,
20:46:13.2,,,HOT-2 all right.
20:46:16.9,,AAL1630 line up and wait runway one American sixteen thirty. AAL1630 lineup and wait runway one American sixteen thirty.,
20:46:19.2,,"MUSL7 tower Muscle seven approaching Springfield request route three MUSL7 tower Muscle seven approaching Springfield request route three to zone six. to zone six. [loud static during transmission, transmission stepped on by simultaneous transmission from airplane frequency]",
20:46:22.0,,AAL472 American four seventy two by KATRN runway one. [transmission AAL472 American four seventy two by KATRN runway one. simultaneous with Muscle 7 transmission],
20:46:24.6,,TWR-A seven stand by. DCA-LC Muscle seven stand by. TWR-A Muscle seven standby.,
20:46:26.4,INT-1 ha ha.,,
20:46:27.2,INT-2 ha.,,
20:46:29.9,,,EGPWS one thousand. [automated voice]
20:46:29.9,,TWR-A Bluestreak fifty three zero seven keep rolling out to november DCA-LC Bluestreak fifty three zero seven keep rolling out to november TWR-A Bluestreak fifty three zero seven keep rolling out to november ground point seven good day. ground point seven good day. ground point seven good day.,
20:46:30.6,,,CAM [sound of click consistent with verifying spoilers are stowed]
20:46:32.1,,,HOT-2 thousand feet.
20:46:32.8,,,HOT-1 stable spoilers stowed confirm missed approach altitude set.
20:46:33.5,,JIA5307 november three zero seven. JIA5307 november fifty three zero seven.,
20:46:34.0,INT-1 he's got'em stacked up tonight.,,
20:46:35.3,INT-2 (yeah/kinda) busy. HOT-2 uh two thousand two hundred set.,,
20:46:40.4,INT-1 alright three three zero so now we've pretty much got a right quartering tailwind going to be pushing you.,,
20:46:43.7,INT-2 yeah.,,
20:46:45.7,,ARCR1 National Tower good eveining AirCare one's with you a single ARCR1 National Tower good evening AirCare one's with you a single medivac heli— [transmission cut off by next tower transmission] medivac— [transmission cut off by next tower transmission],
20:46:48.2,,TWR-A American sixteen * one * one four gust two five traffic * * runway DCA-LC American sixteen thirty winds are three two zero at one four TWR-A American sixteen thirty winds are at three two zero at one four three three no delay runway one clear for immediate takeoff. gusts two five traffic two mile left base runway three three no gusting two five traffic is a two mile left base runway three three delay runway one cleared for immediate takeoff. no delay runway one clear for immediate takeoff. [sound of two beeps audible during transmission],
20:46:48.9,INT-2 * crabbing.,,
20:46:50.6,INT-1 yeah.,,
20:46:51.8,INT-2 better not to fight the wind.,,
20:46:55.8,,AAL1630 number one cleared for takeoff American sixteen thirty. AAL1630 number one cleared for takeoff American sixteen thirty.,
20:46:56.6,INT-2 right pedal.,,
20:46:58.8,,TWR-A Muscle seven say request. DCA-LC Muscle seven say request. TWR-A Muscle seven say request.,
20:47:00.9,,MUSL7 and Muscle seven request route three to zone six. MUSL7 yeah Muscle seven request route three to zone six. [loud static during transmission],
20:47:04.1,,TWR-A Muscle seven you said route three to zone six? DCA-LC Muscle seven you say route three to zone six? TWR-A Muscle seven did you say * * zone six?,
20:47:06.8,,MUSL7 a-firm Muscle seven. MUSL7 a-firm Muscle seven. [loud static during transmission],
20:47:07.9,,TWR-A Muscle seven approved. DCA-LC Muscle seven approved. TWR-A Muscle seven approved.,
20:47:09.2,,MUSL7 Muscle seven *. MUSL7 Muscle seven. [loud static during transmission],
20:47:13.7,,AAL472 American four seventy two Mount Vernon Visual one. AAL472 American four seventy two Mount Vernon Visual * one. [transmission stepped on by simultaneous transmission from helicopter frequency],
20:47:15.1,,ARCR1 National Tower good evening AirCare one's with you single ARCR1 National Tower good evening AirCare one is with you single medivac helicopter one thousand feet two niner niner one on the medivac helicopter one thousand feet two niner niner one on the altimeter requesting zone six for Fairfax. altimeter requesting zone six for Fairfax. [transmission made during previous airplane transmission],
20:47:25.5,,TWR-A medivac AirCare one Washington Tower nearest altimeter two DCA-LC medivac AirCare one Washington Tower National altimeter two TWR-A medevac AirCare one Washington Tower * altimeter two niner niner niner zero approved through Washington class bravo niner niner zero. approved through Washington class bravo niner zero * approved bravo airspace * * landing assured *. airspace before landing assured at Fairfax. airspace report landing assured at Fairfax.,
20:47:29.2,,,EGPWS five hundred. [automated voice]
20:47:30.9,,,HOT-2 five hundred feet on top of the bug sinking seven stable.
20:47:34.0,,ARCR1 two niner two niner niner zero for AirCare one copies. ARCR1 two niner— two niner niner zero for AirCare one copies.,
20:47:34.3,,,HOT-1 checks.
20:47:35.5,,,HOT-2 I got two white two red.
20:47:37.2,,,HOT-1 cool.
20:47:37.8,,DCA-LC [two brief mic keys with rapid beeping audible in background consistent with conflict alert],
20:47:39.1,,TWR-A PAT two five you have the C-R-J in sight? [sounds of rapid DCA-LC PAT two five do you have that C-R-J in sight? [sounds of rapid TWR-A PAT two five you got the C-R-J in sight? [sounds of rapid beeping consistent with conflict alert audible in background while beeping consistent with conflict alert audible in background] beeping consistent with conflict alert audible in background while tower is transmitting] tower is transmitting],
20:47:40.3,,,TCAS traffic. traffic. [automated voice]
20:47:42.0,,TWR-A PAT [transmission interrupted by 0.8 second mic key from PAT- DCA-LC PAT two five pass behind that C-R-J. [sounds of rapid beeping TWR-A PAT two five pass behind the C-R-J. [sounds of rapid beeping 25] C-R-J. consistent with conflict alert audible in background] consistent with conflict alert audible in background while tower is transmitting],
20:47:44.1,RDO-1 PAT two five has uh— aircraft in sight request visual separation. PAT25 PAT two five has a— aircraft in sight request visual separation. [loud static in background],,
20:47:47.3,,TWR-A *. DCA-LC vis separation. TWR-A vis sep * *.,
20:47:47.8,INT-2 (woah/below).,,
20:47:52.5,INT-1 alright kinda come left for me ma'am I think that's why he's asking.,,
20:47:54.3,INT-2 sure.,,
20:47:54.8,,AAL472 American four seventy two by BADDN Mount Vernon Visual. AAL472 American four seventy two at BADDN Mount Vernon Visual.,
20:47:55.3,INT-1 we're kinda...,,
20:47:55.4,INT-2 oh-kay. fine. EGPWS plus hundred. [automated voice],,
20:47:56.4,INT-1 ...out towards the middle.,,
20:47:57.7,,TWR-A American four seventy two Washington Tower [transmission cut DCA-LC American four seventy two Washington Tower winds are three TWR-A American four seventy ***. [transmission cut off by impact] off by impact] two zero at one seven— [sounds of rapid beeping audible in background consistent with conflict alert. audible reaction in background before transmission cut off],
20:47:58.1,INT-2 [sound similar to mumbling] CAM [sound of click],,
20:47:58.6,,,HOT-1 oh #.
20:47:58.8,,,HOT-2 ohhhh ohhhh. [louder voice]
20:47:59.5,,,RDO [sound similar to ELT signal] CAM [sounds consistent with impact]
20:48:00.1,"FPS [sound of rapid beeping similar to stabilator auto mode fail master caution, continues to end of recording]",,
20:48:00.1,,END OF COMBINED TRANSCRIPT,
